Sentence,Aspect,Opinion,Sentiment,Category
Just went here for my girlfriends 23rd bday.,NULL,NULL,positive,RESTAURANT#GENERAL
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,top of view,NULL,positive,AMBIENCE#GENERAL
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,great,positive,SERVICE#GENERAL
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,great,positive,FOOD#QUALITY
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,reasonable,positive,PRICES
The lava cake dessert was incredible and I recommend it.,lava cake dessert,incredible,positive,FOOD#QUALITY
Pizza here is consistently good.,Pizza,good,positive,FOOD#QUALITY
Salads are a delicious way to begin the meal.,Salads,delicious,positive,FOOD#QUALITY
You should pass on the calamari.,calamari,pass,negative,FOOD#QUALITY
It is thick and slightly soggy.,NULL,thick,negative,FOOD#QUALITY
Decor is charming.,Decor,charming,positive,AMBIENCE#GENERAL
Service is average.,Service,average,neutral,SERVICE#GENERAL
sometimes i get good food and ok service.,food,good,positive,FOOD#QUALITY
sometimes i get good food and ok service.,service,ok,neutral,SERVICE#GENERAL
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,bad,negative,FOOD#QUALITY
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,bad,negative,SERVICE#GENERAL
it is not consistent.,NULL,not consistent,negative,LAPTOP#GENERAL
really depends on your luck!,NULL,NULL,negative,LAPTOP#GENERAL
I started out with a Bombay beer which was big enough for two.,Bombay beer,big,positive,DRINKS#STYLE_OPTIONS
For dinner I had the chicken tikka-masala and some garlic naan.,chicken tikka-masala,NULL,positive,FOOD#QUALITY
For dinner I had the chicken tikka-masala and some garlic naan.,garlic naan,NULL,positive,FOOD#QUALITY
MMmmm... it was delicious.,NULL,delicious,positive,FOOD#QUALITY
"Service was slow, but the people were friendly.",Service,slow,negative,SERVICE#GENERAL
"Service was slow, but the people were friendly.",people,friendly,positive,SERVICE#GENERAL
It's a nice place to relax and have conversation.,place,nice,positive,AMBIENCE#GENERAL
I can't wait to go back.,NULL,can't wait,positive,RESTAURANT#GENERAL
"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",table,can't get,negative,AMBIENCE#GENERAL
"Service here was great, food was fantastic.",Service,great,positive,SERVICE#GENERAL
"Service here was great, food was fantastic.",food,fantastic,positive,FOOD#QUALITY
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",Guacamole+shrimp appetizer,great,positive,FOOD#QUALITY
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",filet,good,positive,FOOD#QUALITY
Will absolutely visit again.,NULL,NULL,positive,RESTAURANT#GENERAL
Maybe tomorrow ;-),NULL,NULL,neutral,LAPTOP#GENERAL
Molto bene!,Molto bene,Molto bene,positive,RESTAURANT#GENERAL
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,trattoria,quaint,positive,RESTAURANT#GENERAL
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,delicious,positive,FOOD#QUALITY
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",specials,delicious,positive,FOOD#QUALITY
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",regular menu-fare,delicious,positive,FOOD#QUALITY
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",dishes,never a disappointment,positive,FOOD#QUALITY
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",parmesean porcini souffle,transported to Northern Italy,positive,FOOD#QUALITY
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",lamb glazed with balsamic vinegar,transported to Northern Italy,positive,FOOD#QUALITY
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",tables,closely situated,positive,AMBIENCE#GENERAL
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",candle-light,overcompensate,positive,AMBIENCE#GENERAL
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",food-quality,overcompensate,positive,FOOD#QUALITY
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,overcompensate,positive,SERVICE#GENERAL
A guaranteeed delight!,NULL,delight,positive,LAPTOP#GENERAL
this little place has a cute interior decor and affordable city prices.,interior decor,cute,positive,AMBIENCE#GENERAL
this little place has a cute interior decor and affordable city prices.,NULL,affordable,positive,RESTAURANT#PRICES
"the pad se ew chicken was delicious, however the pad thai was far too oily.",pad se ew chicken,delicious,positive,FOOD#QUALITY
"the pad se ew chicken was delicious, however the pad thai was far too oily.",pad thai,oily,negative,FOOD#QUALITY
i would just ask for no oil next time.,NULL,NULL,negative,FOOD#QUALITY
I was very disappointed with this restaurant.,restaurant,disappointed,negative,RESTAURANT#GENERAL
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,NULL,negative,SERVICE#GENERAL
I had to ask her three times before she finally came back with the dish Ive requested.,dish,NULL,negative,FOOD#QUALITY
"Food was okay, nothing great.",Food,okay,neutral,FOOD#QUALITY
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,Chow fun,dry,negative,FOOD#QUALITY
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,pork shu mai,greasy,negative,FOOD#QUALITY
I/we will never go back to this place again.,place,never go back,negative,RESTAURANT#GENERAL
"Excellent food, although the interior could use some help.",food,Excellent,positive,FOOD#QUALITY
"Excellent food, although the interior could use some help.",interior,could use some help,neutral,AMBIENCE#GENERAL
"The space kind of feels like an Alice in Wonderland setting, without it trying to be that.",space,feels like an Alice in Wonderland,positive,AMBIENCE#GENERAL
"I paid just about $60 for a good meal, though :)",meal,good,positive,FOOD#QUALITY
Great sake!,sake,Great,positive,DRINKS#QUALITY
Way below average,NULL,below average,negative,LAPTOP#GENERAL
I think the pizza is so overrated and was under cooked.,pizza,overrated,negative,FOOD#QUALITY
Had no flavor and the staff is rude and not attentive.,staff,rude,negative,SERVICE#GENERAL
Would NEVER go back,NULL,NULL,negative,LAPTOP#GENERAL
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",food,delicious,positive,FOOD#QUALITY
"The food at that restaurant was delicious, especially the pasta.",pasta,delicious,positive,FOOD#QUALITY
