review_id,term_actual,term_predicted,opinion_actual,opinion_predicted,aspect_actual,aspect_predicted,sentiment_actual,sentiment_predicted,review_len
0,food,NA,various type,NA,FOOD#STYLE_OPTIONS,NA,positive,NA,69
0,NULL,NA,memorable,NA,RESTAURANT#GENERAL,NA,positive,NA,69
0,Marcus,Marcus,great,great guide,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,69
0,experience,NA,worth trying,NA,RESTAURANT#GENERAL,NA,positive,NA,69
1,quality,quality,average,average,FOOD#QUALITY,FOOD#QUALITY,neutral,positive,19
1,dishes,dishes,average,average,FOOD#QUALITY,FOOD#QUALITY,neutral,positive,19
1,prices,prices,high,high,FOOD#PRICES,FOOD#QUALITY,negative,positive,19
1,Services,Services,perfect,perfect,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,19
1,waitress,waitress,perfect,perfect,SERVICE#GENERAL,SERVICE#GENERAL,positive,positive,19
2,Samosa Chaat,Samosa Chaat,"perfect blend of sweet, sour and spicy","perfect blend of sweet, sour and spicy",FOOD#QUALITY,FOOD#QUALITY,positive,positive,233
2,samosa chunks,samosa chunks,heavenly,heavenly,FOOD#QUALITY,FOOD#QUALITY,positive,positive,233
2,Channa Bhatura,Channa Bhatura,crispy,"perfect blend of sweet, sour and spicy",FOOD#QUALITY,FOOD#QUALITY,positive,positive,233
2,Channa Bhatura,NA,tender texture,NA,FOOD#QUALITY,NA,positive,NA,233
2,Channa Bhatura,NA,rightly spiced,NA,FOOD#QUALITY,NA,positive,NA,233
2,Parantha with Palak Paneer,Parantha with Palak Paneer,enjoyed every bite of my tongue tantalizing,heavenly,FOOD#QUALITY,FOOD#QUALITY,positive,positive,233
2,Pranic Juice,NA,amazing,NA,DRINKS#QUALITY,NA,positive,NA,233
2,Pranic Juice,NA,refreshed and awake,NA,DRINKS#STYLE_OPTIONS,NA,positive,NA,233
2,NULL,NA,delicious,NA,FOOD#QUALITY,NA,positive,NA,233
2,NULL,NA,value for money,NA,FOOD#PRICES,NA,positive,NA,233
2,NA,Cheese Spinach,NA,enjoyed every bite of my tongue tantalizing,NA,FOOD#QUALITY,NA,positive,233
2,NA,pranic juice,NA,enjoyed every bite of my tongue tantalizing,NA,FOOD#QUALITY,NA,positive,233
2,NA,pranic juice,NA,enjoyed every bite of my tongue tantalizing,NA,FOOD#QUALITY,NA,positive,233
3,ambience,ambience,inviting, inviting,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,38
3,ambience,NA,relaxed,NA,AMBIENCE#GENERAL,NA,positive,NA,38
3,ambience,NA,romantic,NA,AMBIENCE#GENERAL,NA,positive,NA,38
3,service,NA,good,NA,SERVICE#GENERAL,NA,positive,NA,38
3,ribeye pork steak,ribeye pork steak,tender,good,FOOD#QUALITY,SERVICE#GENERAL,positive,positive,38
3,ribeye pork steak,NA,succulent,NA,FOOD#QUALITY,NA,positive,NA,38
3,ribeye pork steak,NA,unevenly salted,NA,FOOD#QUALITY,NA,negative,NA,38
3,NULL,NULL,nice,tender,RESTAURANT#GENERAL,FOOD#QUALITY,positive,positive,38
3,NA,Service,NA,relaxed,NA,AMBIENCE#GENERAL,NA,positive,38
4,environment,environment,Love,love,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,20
4,food,food,love,love,FOOD#QUALITY,FOOD#QUALITY,positive,positive,20
4,Imperial Canton broth,Imperial Canton broth,Live,live,FOOD#QUALITY,FOOD#QUALITY,positive,positive,20
5,atmosphere,atmosphere,Liked,Liked,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,positive,20
5,food,food,delicious,delicious,FOOD#QUALITY,FOOD#QUALITY,positive,positive,20
5,drinks,drinks,delicious,delicious,DRINKS#QUALITY,FOOD#QUALITY,positive,positive,20
5,Staff,NA,friendly,NA,SERVICE#GENERAL,NA,positive,NA,20
5,NA,staff,NA,friendly,NA,SERVICE#GENERAL,NA,positive,20
6,atmosphere,atmosphere,nice,nice,AMBIENCE#GENERAL,AMBIENCE#GENERAL,positive,negative,240
6,staff,staff,professional,professional,SERVICE#GENERAL,SERVICE#GENERAL,positive,negative,240
6,staff,staff,knowledgeable,unprofessional,SERVICE#GENERAL,SERVICE#GENERAL,positive,negative,240
6,appetizers,NA,above their main course,NA,FOOD#QUALITY,NA,positive,NA,240
6,pre-main,NA,above their main course,NA,FOOD#QUALITY,NA,positive,NA,240
6,main course,NA,NULL,NA,FOOD#QUALITY,NA,negative,NA,240
6,steak,NA,NULL,NA,FOOD#QUALITY,NA,negative,NA,240
6,NULL,NA,great,NA,FOOD#QUALITY,NA,positive,NA,240
